date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:32	9286/9286	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:31%20GMT	https://rooicell.co.kr/robots.txt		(from )
16:17:32	46285/46285	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:31%20GMT	https://rooicell.co.kr/	C:/rooicel/rooicel/rooicell.co.kr/index.html	(from )
16:17:32	95957/95957	---MCZ	200	added ('OK')	application/javascript	etag:W/%22176d5-5dca6663763ce%22	https://rooicell.co.kr/js/jquery-1.11.3.min.js	C:/rooicel/rooicel/rooicell.co.kr/js/jquery-1.11.3.min.js	(from https://rooicell.co.kr/)
16:17:32	7199/7199	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c1f-5dca666382b06%22	https://rooicell.co.kr/js/jquery-migrate-1.2.1.min.js	C:/rooicel/rooicel/rooicell.co.kr/js/jquery-migrate-1.2.1.min.js	(from https://rooicell.co.kr/)
16:17:32	8097/8097	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fa1-5dca6663a422f%22	https://rooicell.co.kr/js/jquery.easing.1.3.js	C:/rooicel/rooicel/rooicell.co.kr/js/jquery.easing.1.3.js	(from https://rooicell.co.kr/)
16:17:33	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a76f-5dca6663c5188%22	https://rooicell.co.kr/js/slick.min.js	C:/rooicel/rooicel/rooicell.co.kr/js/slick.min.js	(from https://rooicell.co.kr/)
16:17:33	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-5dca6646031ee%22	https://rooicell.co.kr/css/slick.css	C:/rooicel/rooicel/rooicell.co.kr/css/slick.css	(from https://rooicell.co.kr/)
16:17:33	19778/19778	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf2-4d42%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/4.5.0/css/swiper.min.css	C:/rooicel/rooicel/cdnjs.cloudflare.com/ajax/libs/Swiper/4.5.0/css/swiper.min.css	(from https://rooicell.co.kr/)
16:17:33	6246/6246	---MCZ	200	added ('OK')	application/javascript	etag:W/%221866-5dca66635b235%22	https://rooicell.co.kr/js/common.js	C:/rooicel/rooicel/rooicell.co.kr/js/common.js	(from https://rooicell.co.kr/)
16:17:33	25743/25743	---MCZ	200	added ('OK')	text/css	etag:W/%22648f-5dca6645f284e%22	https://rooicell.co.kr/css/common.css?v=20220128	C:/rooicel/rooicel/rooicell.co.kr/css/commonbfee.css	(from https://rooicell.co.kr/)
16:17:34	1270/1270	---MCZ	200	added ('OK')	application/javascript	etag:W/%224f6-5dca666372165%22	https://rooicell.co.kr/js/index.js?v=20220128	C:/rooicel/rooicel/rooicell.co.kr/js/indexbfee.js	(from https://rooicell.co.kr/)
16:17:34	10329/10329	---MCZ	200	added ('OK')	text/css	etag:W/%222859-5deb6c3a534c6%22	https://rooicell.co.kr/css/index_pc.css?v=20220128	C:/rooicel/rooicel/rooicell.co.kr/css/index_pcbfee.css	(from https://rooicell.co.kr/)
16:17:34	8745/8745	---MCZ	200	added ('OK')	text/css	etag:W/%222229-5deb6c82a9437%22	https://rooicell.co.kr/css/index_tablet.css?v=20220128	C:/rooicel/rooicel/rooicell.co.kr/css/index_tabletbfee.css	(from https://rooicell.co.kr/)
16:17:34	8880/8880	---MCZ	200	added ('OK')	text/css	etag:W/%2222b0-5deb6c5c581b0%22	https://rooicell.co.kr/css/index_mobile.css?v=20220128	C:/rooicel/rooicel/rooicell.co.kr/css/index_mobilebfee.css	(from https://rooicell.co.kr/)
16:17:35	1665/1665	---MCZ	200	added ('OK')	text/css	etag:W/%22681-5dca6646006f6%22	https://rooicell.co.kr/css/locomotive-scroll.css	C:/rooicel/rooicel/rooicell.co.kr/css/locomotive-scroll.css	(from https://rooicell.co.kr/)
16:17:35	48746/48746	---MCZ	200	added ('OK')	application/javascript	etag:W/%22be6a-5dca6663b99f0%22	https://rooicell.co.kr/js/lodash.min.js	C:/rooicel/rooicel/rooicell.co.kr/js/lodash.min.js	(from https://rooicell.co.kr/)
16:17:35	99342/99342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d6b-1840e%22	https://cdnjs.cloudflare.com/ajax/libs/babel-polyfill/7.6.0/polyfill.min.js	C:/rooicel/rooicel/cdnjs.cloudflare.com/ajax/libs/babel-polyfill/7.6.0/polyfill.min.js	(from https://rooicell.co.kr/)
16:17:36	24172/24172	---M-Z	200	added ('OK')	application/javascript	etag:%2261541e28-291e%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.8.0/ScrollTrigger.min.js	C:/rooicel/rooicel/cdnjs.cloudflare.com/ajax/libs/gsap/3.8.0/ScrollTrigger.min.js	(from https://rooicell.co.kr/)
16:17:36	63533/63533	---M-Z	200	added ('OK')	application/javascript	etag:%2261541e28-61ec%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.8.0/gsap.min.js	C:/rooicel/rooicel/cdnjs.cloudflare.com/ajax/libs/gsap/3.8.0/gsap.min.js	(from https://rooicell.co.kr/)
